recipe_title,description,category,tags,emoji,servings,cook_time_min,ingredient_1_name,ingredient_1_qty,ingredient_1_unit,ingredient_1_category,ingredient_1_optional,ingredient_2_name,ingredient_2_qty,ingredient_2_unit,ingredient_2_category,ingredient_2_optional,ingredient_3_name,ingredient_3_qty,ingredient_3_unit,ingredient_3_category,ingredient_3_optional,ingredient_4_name,ingredient_4_qty,ingredient_4_unit,ingredient_4_category,ingredient_4_optional,ingredient_5_name,ingredient_5_qty,ingredient_5_unit,ingredient_5_category,ingredient_5_optional,step_1,step_2,step_3,step_4,step_5,notes
Pineapple Yogurt Crunch,Fast bowl with carbs and protein for training days.,breakfast,high_carb|quick|training_day,🍓,1,10,Greek yogurt,250.0,g,dairy,0,cornflakes,80.0,g,carb,0,pineapple,150.0,g,produce,0,honey,10.0,g,pantry,1,almonds,15.0,g,fat,1,Step 1: Add yogurt to a bowl.,Step 2: Top with cereal.,Step 3: Add fruit.,Step 4: Add honey if desired.,Step 5: Finish with nuts and eat.,Prep: 7 min. Cook: 10 min. Good pre-session energy.
Banana Oat Bowl,Carb-forward oats for steady morning energy.,breakfast,comfort|high_carb,🍚,1,11,instant oats,70.0,g,carb,0,banana,180.0,g,produce,0,water,250.0,ml,pantry,0,honey,10.0,g,pantry,1,salt,1.0,g,pantry,1,Step 1: Bring water to a simmer.,Step 2: Stir in oats.,Step 3: Cook until creamy.,Step 4: Top with fruit and sweetener.,Step 5: Add a pinch of salt and serve.,Prep: 2 min. Cook: 9 min. Good pre-session energy.
Oat Pancakes with Strawberries,Pancakes with endurance-friendly carbs.,breakfast,high_carb|quick|training_day,🥛,1,8,rolled oats,80.0,g,carb,0,eggs,1.0,unit,protein,0,strawberries,150.0,g,produce,0,milk,90.0,ml,dairy,1,baking powder,3.0,g,pantry,1,"Step 1: Mix oats, egg, and milk.",Step 2: Stir in baking powder.,Step 3: Heat a nonstick pan.,Step 4: Cook batter until set and flip.,Step 5: Top with fruit and serve.,Prep: 3 min. Cook: 5 min. Add extra fluids on hot days.
Apple Oat Bowl,Carb-forward oats for steady morning energy.,breakfast,balanced|quick,🥞,1,6,instant oats,90.0,g,carb,0,apple,150.0,g,produce,0,water,280.0,ml,pantry,0,honey,20.0,g,pantry,1,salt,1.0,g,pantry,1,Step 1: Bring water to a simmer.,Step 2: Stir in oats.,Step 3: Cook until creamy.,Step 4: Top with fruit and sweetener.,Step 5: Add a pinch of salt and serve.,Prep: 6 min. Cook: 1 min. Great for glycogen topping-up.
Overnight Oats with Berries,No-cook breakfast for early training mornings.,breakfast,fiber|balanced,🍌,1,8,rolled oats,80.0,g,carb,0,skim milk,220.0,ml,dairy,0,berries,150.0,g,produce,0,honey,10.0,g,pantry,1,cinnamon,2.0,g,pantry,1,Step 1: Combine oats and milk in a jar.,Step 2: Add cinnamon and stir.,Step 3: Refrigerate overnight.,Step 4: Top with fruit.,Step 5: Add honey if desired.,Prep: 6 min. Cook: 2 min. Good pre-session energy.
Orange Rice Porridge,"Soft, digestible carbs for early sessions.",breakfast,comfort|high_carb,🥣,1,11,jasmine rice,90.0,g,carb,0,water,320.0,ml,pantry,0,orange,150.0,g,produce,0,honey,15.0,g,pantry,1,cinnamon,2.0,g,pantry,1,Step 1: Bring water to a boil.,Step 2: Add rice and reduce heat.,Step 3: Cook until very soft.,Step 4: Stir in fruit and seasoning.,Step 5: Sweeten lightly and serve.,Prep: 5 min. Cook: 6 min. Add extra fluids on hot days.
Apple Rice Porridge,"Soft, digestible carbs for early sessions.",breakfast,high_carb|post_workout,🫐,1,16,white rice,90.0,g,carb,0,water,320.0,ml,pantry,0,apple,150.0,g,produce,0,honey,15.0,g,pantry,1,cinnamon,2.0,g,pantry,1,Step 1: Bring water to a boil.,Step 2: Add rice and reduce heat.,Step 3: Cook until very soft.,Step 4: Stir in fruit and seasoning.,Step 5: Sweeten lightly and serve.,Prep: 4 min. Cook: 12 min. Great for glycogen topping-up.
Berries Oat Bowl,Carb-forward oats for steady morning energy.,breakfast,balanced|quick,🥛,1,14,instant oats,70.0,g,carb,0,berries,180.0,g,produce,0,water,250.0,ml,pantry,0,honey,10.0,g,pantry,1,salt,1.0,g,pantry,1,Step 1: Bring water to a simmer.,Step 2: Stir in oats.,Step 3: Cook until creamy.,Step 4: Top with fruit and sweetener.,Step 5: Add a pinch of salt and serve.,Prep: 6 min. Cook: 8 min. Good post-session recovery.
Oat Pancakes with Banana,Pancakes with endurance-friendly carbs.,breakfast,high_carb|quick|training_day,🍯,1,9,rolled oats,80.0,g,carb,0,eggs,1.0,unit,protein,0,banana,150.0,g,produce,0,milk,90.0,ml,dairy,1,baking powder,3.0,g,pantry,1,"Step 1: Mix oats, egg, and milk.",Step 2: Stir in baking powder.,Step 3: Heat a nonstick pan.,Step 4: Cook batter until set and flip.,Step 5: Top with fruit and serve.,Prep: 5 min. Cook: 4 min. Good post-session recovery.
Oat Pancakes with Strawberries,Pancakes with endurance-friendly carbs.,breakfast,fiber|balanced,🍚,1,15,rolled oats,80.0,g,carb,0,eggs,1.0,unit,protein,0,strawberries,150.0,g,produce,0,milk,90.0,ml,dairy,1,baking powder,3.0,g,pantry,1,"Step 1: Mix oats, egg, and milk.",Step 2: Stir in baking powder.,Step 3: Heat a nonstick pan.,Step 4: Cook batter until set and flip.,Step 5: Top with fruit and serve.,Prep: 4 min. Cook: 11 min. Easy on digestion before intervals.
Banana Rice Porridge,"Soft, digestible carbs for early sessions.",breakfast,comfort|high_carb,🫐,1,7,white rice,90.0,g,carb,0,water,320.0,ml,pantry,0,banana,150.0,g,produce,0,honey,15.0,g,pantry,1,cinnamon,2.0,g,pantry,1,Step 1: Bring water to a boil.,Step 2: Add rice and reduce heat.,Step 3: Cook until very soft.,Step 4: Stir in fruit and seasoning.,Step 5: Sweeten lightly and serve.,Prep: 2 min. Cook: 5 min. Easy on digestion before intervals.
Strawberries Oat Bowl,Carb-forward oats for steady morning energy.,breakfast,balanced|quick,🍞,1,19,rolled oats,70.0,g,carb,0,strawberries,180.0,g,produce,0,water,220.0,ml,pantry,0,jam,15.0,g,pantry,1,salt,1.0,g,pantry,1,Step 1: Bring water to a simmer.,Step 2: Stir in oats.,Step 3: Cook until creamy.,Step 4: Top with fruit and sweetener.,Step 5: Add a pinch of salt and serve.,Prep: 4 min. Cook: 15 min. Good post-session recovery.
Pineapple Oat Bowl,Carb-forward oats for steady morning energy.,breakfast,comfort|high_carb,🥞,1,14,instant oats,70.0,g,carb,0,pineapple,120.0,g,produce,0,water,250.0,ml,pantry,0,jam,15.0,g,pantry,1,salt,1.0,g,pantry,1,Step 1: Bring water to a simmer.,Step 2: Stir in oats.,Step 3: Cook until creamy.,Step 4: Top with fruit and sweetener.,Step 5: Add a pinch of salt and serve.,Prep: 3 min. Cook: 11 min. Great for glycogen topping-up.
